ZoneNumber,Commodity,TargetPrice,Tolerance,region,type,confidence
2959,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2960,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2964,FLR Hospital,11.65435696,5.82717848,Bend-North,Office,Medium
2968,FLR Hospital,13.14132595,6.570662975,Bend-South,Office,Medium
2970,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2971,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2972,FLR Hospital,11.65435696,5.82717848,Bend-North,Office,Medium
2974,FLR Hospital,11.65435696,5.82717848,Bend-North,Office,Medium
2981,FLR Hospital,14.50055218,7.25027609,Bend-Central,Office,Medium
2984,FLR Hospital,13.14132595,6.570662975,Bend-South,Office,Medium
2987,FLR Hospital,13.14132595,6.570662975,Bend-South,Office,Medium
2988,FLR Hospital,13.14132595,6.570662975,Bend-South,Office,Medium
3012,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
3015,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
3017,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
3020,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
