ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
4089,FLR Heavy Industry,737687.89,442612.734,Halo-Urban,Industrial,60%
4090,FLR Heavy Industry,48834.06,29300.436,Halo-Small Cities,Industrial,60%
4091,FLR Heavy Industry,47542.42,28525.452,Halo-Small Cities,Industrial,60%
4092,FLR Heavy Industry,101252.97,60751.782,Halo-Small Cities,Industrial,60%
4093,FLR Heavy Industry,864544.89,518726.934,Halo-Small Cities,Industrial,60%
4094,FLR Heavy Industry,50786.97,30472.182,Halo-Urban,Industrial,60%
4095,FLR Heavy Industry,28042.05,16825.23,Halo-Urban,Industrial,60%
4096,FLR Heavy Industry,1319.42,1000,Halo-Small Cities,Industrial,60%
4105,FLR Heavy Industry,319878.37,191927.022,Halo-Small Cities,Industrial,60%
4136,FLR Heavy Industry,8693.57,5216.142,Halo-Small Cities,Industrial,60%
4137,FLR Heavy Industry,13669.51,8201.706,Halo-Small Cities,Industrial,60%
4138,FLR Heavy Industry,238574.79,143144.874,Halo-Small Cities,Industrial,60%
4140,FLR Heavy Industry,20095.22,12057.132,Halo-Small Cities,Industrial,60%
4141,FLR Heavy Industry,108083.71,64850.226,Halo-Small Cities,Industrial,60%
1,FLR Light Industry,13501.26405,6750.632025,Metro,Industrial,50%
17,FLR Light Industry,322311.0238,161155.5119,Metro,Industrial,50%
19,FLR Light Industry,978937.3729,489468.6864,Metro,Industrial,50%
31,FLR Light Industry,146293.4593,73146.72964,Metro,Industrial,50%
37,FLR Light Industry,144958.8979,72479.44896,Metro,Industrial,50%
79,FLR Light Industry,1137994.161,568997.0805,Metro,Industrial,50%
81,FLR Light Industry,629219.4174,314609.7087,Metro,Industrial,50%
89,FLR Light Industry,395992.6815,197996.3408,Metro,Industrial,50%
104,FLR Light Industry,179166.3833,89583.19167,Metro,Industrial,50%
114,FLR Light Industry,162877.4648,81438.73241,Metro,Industrial,50%
117,FLR Light Industry,296607.2214,148303.6107,Metro,Industrial,50%
150,FLR Light Industry,99490.07,49745.035,Metro,Industrial,50%
154,FLR Light Industry,389283.89,194641.945,Metro,Industrial,50%
161,FLR Light Industry,764709.0101,382354.505,Metro,Industrial,50%
223,FLR Light Industry,1333303.149,666651.5744,Metro,Industrial,50%
229,FLR Light Industry,450345.82,225172.91,Metro,Industrial,50%
244,FLR Light Industry,271340.2073,135670.1036,Metro,Industrial,50%
