Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search,PayloadReferenceDistance,AnotherPayloadDistance,PayloadInterchangeName,MinimumPrice,MaximumPrice,TotalSizeTerm
Internal Services Utilities,165,100,100,1,-1,0,1,1,0.001577142,6.41025641,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,21,100,betapktrk1dist,-10,5,835431483.6
Internal Services Education k12,166,100,100,1,-1,0,1,1,0.001577142,6.41025641,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,21,100,betapktrk1dist,-10,5,2603782626
Internal Services Government Administration,167,100,100,1,-1,0,1,1,0.001577142,6.41025641,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,6563499060
Government Support Receipts,301,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,43049716613
Tax Receipts,302,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,51692933824
Investing Receipts,303,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,11095475987
Return Investment Receipts,304,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,1.10E+11
Capital Transfer Receipts,305,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,45891148125
Education Reports to Sponsors,306,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,13200257174
Proprietor Income Receipts,307,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,14422943686
A1-Mgmt Bus,401,126.5353339,126.5353339,1,-1,0,1,1,0.0040304,7.6923077,0,0,w8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,17533198897
B1-Prof Specialty,402,124.5272981,124.5272981,1,-1,0,1,1,0.0040319,7.6923077,0,0,w8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,9153145862
B2-Education,403,66.88103184,66.88103184,1,-1,0,1,1,0.0056716,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,7876995879
