"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2798",91880.4059194,105850800,56601.6896213,607.539990656,42726.8352381,0,669.839065392,0,8771.38681535,43560000,18910.1014509,30997.0120577,14205.3043314,38105.6409444,39885.8633776,268737.185182,338075.27996,1575.84159198
"2799",719.39637618,263070000,43384.7169555,0,8359.59819875,0,11242.7890189,17938.880784,28220.4672625,315990000,0,26554.1089862,13979.461541,12414.3652454,34174.3669518,327584.73179,410451.771363,0
"2800",51846.4953647,7119262.302,37729.7112726,6324.11229481,159592.883923,0,76052.0359946,888.166466577,25782.2902643,0,87965.5284335,92087.2114316,48225.1306729,59208.5062665,0,0,1052315.3543,0
"2801",0,8479012.266,0,0,1248.56771125,187055.906868,13366.2312665,6217.16526607,36010.9685711,0,2423.29424104,31864.4348351,22088.3018851,1203.60025923,0,0,763681.410841,0
"2802",0,0,0,0,0,0,4578.98458911,0,27631.3789985,0,8928.50713681,15895.9227855,4242.31150164,0,0,0,496695.96016,0
"2803",0,0,27226.6236713,0,1225.4789769,0,0,8335.7274799,149.142332543,0,17863.7338944,216.959263318,1399.78820923,3323.25122769,0,0,321542.751129,0
"2804",0,0,40222.491399,0,0,0,744.815206715,0,759.521137947,0,10797.0222101,36868.7723533,22760.7868194,3878.83803673,0,0,764332.323066,0
"2805",19071.6203842,0,28521.0144092,35947.2432393,190243.17877,310.456967828,61300.6506555,703232.28194,195127.885076,0,72367.2445035,9446.77192525,136231.271672,247261.804106,0,0,352735.610912,211287.414737
"2806",0,0,13214.0076965,40610.0832374,0,0,42189.3440241,0,31116.8905477,0,33140.7075148,4359.76441142,60649.3422092,22489.4556965,0,0,164149.674833,0
"2807",0,0,17803.8280495,18486.829186,0,0,8290.31201257,0,22916.9395231,0,212.08382844,6663.89025426,53294.1798816,5467.74078853,0,0,581307.33477,0
"2808",0,0,157.326856676,0,0,0,7696.42380273,13438.6105047,0,0,17591.1468404,0,4260.11873514,580.233913355,0,0,539218.600887,0
"2809",0,0,76416.1194789,0,0,0,1257.86960282,5196.85930192,481.228995041,0,7512.05084693,0,433.772719042,0,0,0,691289.804909,0
"2810",0,0,4804.16596128,0,0,0,2962.4098041,0,4450.79386837,0,12564.3826529,211.565057873,7216.11949013,24357.5008088,0,0,57708.7880517,0
"2811",15715.9110324,0,37539.0235698,13894.4220027,106026.599728,151.036986631,13397.8968201,753.549662958,116923.368687,0,133650.46678,193.405337804,41548.9493349,408768.30135,0,0,380420.696822,233531.404902
"2812",36703.7174092,0,5451.95639703,3932.38358559,0,0,48139.4096234,0,22890.204579,0,41652.0843489,15368.0946695,12930.745127,142634.089898,0,0,119834.477381,0
"2813",0,0,10127.2196775,0,1116.8153656,0,1401.62612886,2969.63388682,1071.94395192,0,76579.5950594,28173.2290796,433.772719042,3232.73664907,0,0,221525.684149,0
"2814",0,0,73175.6760896,8549.46454837,0,0,1671.16961519,8908.90166043,0,854699.976,257452.885314,59201.4169561,1089.33872883,1176.8661126,0,0,388302.293028,0
"2815",12246.707267,0,1925.26908724,0,45820.2386901,0,4645.66126419,0,13213.4278822,0,48781.9174031,349307.642322,7518.40000135,205210.039901,0,0,559986.173471,26998.9944894
