Activity,Commodity,MorU,Coefficient,StdDev,Amount
ENGY_ngas_hi,Investing Receipts,U,-4.4699998397845775E-5,3.5248833202498034E-21,-161060.61971200453
ENGY_ngas_hi,Return Investment Receipts,U,-0.2098975479602814,3.4718951095805763E-17,-7.562915069845351E8
ENGY_ngas_hi,Proprietor Income Receipts,U,-0.006484683137387037,6.096989435499448E-19,-2.3365260003988612E7
ENGY_ngas_hi,D1-Production Specialists,U,-0.014611900581076153,1.3974898420587455E-4,-5.247557772356421E7
ENGY_ngas_hi,D2-MaintConstRepair Specialists,U,-0.01444837311234889,1.3818499888570903E-4,-5.188830310127471E7
ENGY_ngas_hi,D3-ProtectTrans Specialists,U,-0.0019602614601368926,1.8748048260583474E-5,-7039868.082394653
ENGY_ngas_hi,D4-Blue Collar Unskilled,U,-0.0026218017352276335,2.507505427977732E-5,-9415651.296107808
ENGY_ngas_hi,FLR Heavy Industry,U,-1.5509637431458223E-4,8.981108132644666E-8,-558901.8658766253
ENGY_ptrl_hi,SCTG03_FKP_AGRI_other,U,-4.740000076708384E-5,4.6573818984217294E-21,-219524.50177980948
ENGY_ptrl_hi,SCTG04_FKP_FEED,U,-3.150099946651608E-4,2.6516657480876372E-20,-1458911.624797936
ENGY_ptrl_hi,SCTG05_FKP_FOOD_meat,U,-5.48999996681232E-5,5.063107920138875E-21,-254259.3856501726
ENGY_ptrl_hi,SCTG07_FKP_FOOD_prep,U,-4.5827700523659587E-4,4.3092837101168526E-20,-2122426.7853085957
ENGY_ptrl_hi,SCTG08_FKP_FOOD_alc,U,-2.370000038354192E-5,2.3286909492108647E-21,-109762.25088990474
ENGY_ptrl_hi,SCTG14_CMS_MINE_met,U,-7.059999802550011E-7,1.2356429668385077E-22,-3269.710789322609
