zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2505,0,4235628.5,2292723.0,1580264.5,1220120.6,2046220.9,1890232.2,1175084.6,2577831.0,2236311.2,1537486.6,2117228.5,3165324.8,3767868.2
2506,0,3128216.8,1683950.0,1114012.2,944950.44,1339856.2,1329514.4,769820.44,1662152.9,1330238.5,1002424.94,1426640.1,2136620.2,2323900.0
2507,0,2559801.0,1378459.9,916819.0,770333.25,1114666.5,1094439.5,640840.6,1385309.9,1132185.4,831696.06,1176733.6,1763993.2,1953925.4
2508,0,225043.05,121116.85,80032.0,68092.086,95987.914,95487.44,55152.09,119016.914,94984.58,71803.53,102293.375,153215.47,166165.27
2509,0,4685067.5,1810290.6,1531893.5,1544269.9,1615182.9,1723048.5,878874.75,2075589.8,1308207.9,1234073.6,2233824.0,2997107.8,2922222.8
2510,0,2503059.5,967263.7,817784.94,825901.8,859844.44,919489.5,467992.1,1105096.9,692813.7,657354.3,1191637.8,1597948.0,1550874.5
2511,0,8364459.0,4036693.8,2993516.8,2763516.5,2511595.0,3015358.0,1398623.9,3072255.8,1731854.1,1715291.1,3015906.5,3712164.0,3414554.8
2512,0,3296119.8,1269950.4,1141377.6,1305209.4,1029591.7,1190919.6,628153.75,1390535.6,713942.06,829076.9,1626087.4,1777316.9,1731384.0
2513,0,3310087.5,1275695.8,1149289.9,1307003.4,1039679.8,1198849.9,634202.0,1404796.2,724335.0,837835.94,1640829.8,1793335.2,1754604.2
2514,0,7930967.5,3742249.0,2617490.0,3099160.2,2671443.5,3018897.2,1679365.9,3448945.0,2208005.5,2009575.8,3385581.0,4013678.8,4157334.2
2515,0,7363002.0,3490354.0,2452654.0,2846554.8,2526865.2,2817055.8,1581984.8,3255833.0,2118660.5,1904979.5,3211810.0,3794140.0,3984786.0
2516,0,1760846.1,844405.1,613791.94,648695.75,672594.8,703324.06,419646.66,873409.1,618279.9,508946.1,832724.1,986036.3,1122868.4
2517,0,562242.1,269684.0,196214.47,206864.58,215390.34,224852.53,134387.06,279772.53,198503.73,162978.95,266399.03,315507.44,360100.53
2518,0,3319791.2,1591320.5,1156674.1,1224830.4,1270455.4,1326225.2,792846.9,1649431.9,1177893.0,957947.8,1564508.6,1855363.2,2124049.8
