AZone,FLRType,FLRName,BldgMSQFT
2039,AgForest,FLR Logging,1419942098
2040,AgForest,FLR Agriculture,74873660.43
2040,AgForest,FLR Logging,2985467822
2041,AgForest,FLR Agriculture,616020000.1
2041,AgForest,FLR Logging,4425380605
2042,AgForest,FLR Logging,3991837.39
2043,AgForest,FLR Agriculture,42220236.33
2043,AgForest,FLR Logging,305066656.4
2044,AgForest,FLR Logging,376060915
2045,AgForest,FLR Agriculture,77476610.36
2045,AgForest,FLR Logging,3816100001
2046,AgForest,FLR Agriculture,5254462.357
2046,AgForest,FLR Logging,78932458.36
2047,AgForest,FLR Logging,36328447.25
2048,AgForest,FLR Agriculture,2000774.945
2048,AgForest,FLR Logging,6173785.674
2049,AgForest,FLR Logging,13830599.62
2050,AgForest,FLR Agriculture,124490000
2050,AgForest,FLR Logging,1552908376
2051,AgForest,FLR Agriculture,4704480
2053,AgForest,FLR Agriculture,53680986.01
2054,AgForest,FLR Logging,10890000
2054,AgForest,FLR Agriculture,97617960
2055,AgForest,FLR Agriculture,195260000
2055,AgForest,FLR Logging,5471690750
2056,AgForest,FLR Agriculture,211980000
2057,AgForest,FLR Logging,689587.4809
2058,AgForest,FLR Agriculture,747280000.2
2059,AgForest,FLR Agriculture,242849117.2
2059,AgForest,FLR Logging,3702350883
2060,AgForest,FLR Agriculture,739540000.2
2060,AgForest,FLR Logging,2736400000
2062,AgForest,FLR Agriculture,36091649
2062,AgForest,FLR Logging,3034343818
2063,AgForest,FLR Logging,68771018.82
2067,AgForest,FLR Logging,19510193.09
2069,AgForest,FLR Logging,43267987.98
2070,AgForest,FLR Logging,1524930522
2072,AgForest,FLR Agriculture,18288637
2072,AgForest,FLR Logging,542706202.5
2073,AgForest,FLR Agriculture,11023687.2
2073,AgForest,FLR Logging,211190610.9
2074,AgForest,FLR Agriculture,2253299.938
2074,AgForest,FLR Logging,99751988.46
2075,AgForest,FLR Logging,649167579.7
2076,AgForest,FLR Logging,69051460.76
2085,AgForest,FLR Logging,24376.7171
2086,AgForest,FLR Logging,303565046.2
2087,AgForest,FLR Agriculture,1087799.97
2088,AgForest,FLR Agriculture,72464960.49
2088,AgForest,FLR Logging,545290543.2
2089,AgForest,FLR Agriculture,44932959.2
2089,AgForest,FLR Logging,748882653.3
2091,AgForest,FLR Agriculture,14617312.1
2091,AgForest,FLR Logging,241777614.9
2092,AgForest,FLR Logging,6819439998
2093,AgForest,FLR Agriculture,200610000
2093,AgForest,FLR Logging,3033995331
